TaskID,StationID,Team,Start,End,Duration
0,0,[],0.0,0.0,0.0
1,0,[],0.0,0.0,0.0
10,3,"[47, 28]",0.0,1.5164127474649185,1.5164127474649185
15,1,"[45, 86]",0.0,0.5427777847566762,0.5427777847566762
18,2,"[103, 53]",0.0,0.532478782545239,0.532478782545239
25,3,"[65, 125]",0.0,1.2303991364474374,1.2303991364474374
29,3,"[18, 118]",0.0,1.030672381808568,1.030672381808568
316,0,[],0.0,0.0,0.0
342,0,[],0.0,0.0,0.0
373,0,[],0.0,0.0,0.0
392,0,[],0.0,0.0,0.0
416,0,[],0.0,0.0,0.0
476,0,[],0.0,0.0,0.0
484,0,[],0.0,0.0,0.0
490,0,[],0.0,0.0,0.0
542,0,[],0.0,0.0,0.0
571,0,[],0.0,0.0,0.0
581,0,[],0.0,0.0,0.0
694,0,[],0.0,0.0,0.0
890,0,[],0.0,0.0,0.0
1115,0,[],0.0,0.0,0.0
1249,4,"[123, 76]",0.0,1.0058268172343947,1.0058268172343947
1292,0,[],0.0,0.0,0.0
1426,0,[],0.0,0.0,0.0
1527,0,[],0.0,0.0,0.0
1646,0,[],0.0,0.0,0.0
1707,0,[],0.0,0.0,0.0
1781,0,[],0.0,0.0,0.0
1913,0,[],0.0,0.0,0.0
1983,0,[],0.0,0.0,0.0
2133,0,[],0.0,0.0,0.0
2231,0,[],0.0,0.0,0.0
2249,0,[],0.0,0.0,0.0
2288,0,[],0.0,0.0,0.0
2331,0,[],0.0,0.0,0.0
2425,0,[],0.0,0.0,0.0
2447,0,[],0.0,0.0,0.0
2464,0,[],0.0,0.0,0.0
2483,0,[],0.0,0.0,0.0
2496,0,[],0.0,0.0,0.0
2519,0,[],0.0,0.0,0.0
2532,0,[],0.0,0.0,0.0
2547,0,[],0.0,0.0,0.0
2552,0,[],0.0,0.0,0.0
2557,4,"[116, 158]",0.0,0.5756789207643108,0.5756789207643108
2558,5,"[155, 146]",0.0,0.6310981904555953,0.6310981904555953
2562,0,[],0.0,0.0,0.0
2645,0,[],0.0,0.0,0.0
2659,0,[],0.0,0.0,0.0
2676,0,[],0.0,0.0,0.0
2689,0,[],0.0,0.0,0.0
2718,0,[],0.0,0.0,0.0
2755,0,[],0.0,0.0,0.0
2792,0,[],0.0,0.0,0.0
2816,0,[],0.0,0.0,0.0
2568,2,"[103, 53]",0.532478782545239,1.186400091512318,0.6539213089670791
16,1,"[142, 51]",0.5427777847566762,1.979581045237276,1.4368032604805998
2571,1,"[45, 86]",0.5427777847566762,1.2093469911197154,0.6665692063630393
20,4,"[116, 158]",0.5756789207643108,1.5735223071710358,0.997843386406725
2560,5,"[155, 146]",0.6310981904555953,1.36737937085781,0.7362811804022146
317,4,"[123, 76]",1.0058268172343947,2.1234121993229573,1.1175853820885626
1145,3,"[18, 118]",1.030672381808568,2.0313252074760193,1.0006528256674514
24,2,"[103, 53]",1.186400091512318,2.1766237513577646,0.9902236598454466
