TaskID,StationID,Team,Start,End,Duration
0,0,[],0.0,0.0,0.0
1,0,[],0.0,0.0,0.0
12,3,"[50, 51]",0.0,1.6012381422006519,1.6012381422006519
15,1,"[72, 12]",0.0,0.5457255962124379,0.5457255962124379
18,2,"[18, 65]",0.0,0.5574953668607836,0.5574953668607836
20,4,"[55, 6]",0.0,0.9876964384137473,0.9876964384137473
24,5,"[28, 1]",0.0,1.2146185704668155,1.2146185704668155
29,3,"[76, 47]",0.0,1.183139443366913,1.183139443366913
30,5,"[77, 33]",0.0,1.8825469661611762,1.8825469661611762
6,1,"[72, 12]",0.5457255962124379,1.5893061673552171,1.0435805711427792
8,2,"[18, 65]",0.5574953668607836,1.623583044250122,1.0660876773893384
26,2,"[22, 10]",0.5574953668607836,8.735768107773564,8.178272740912782
10,4,"[55, 6]",0.9876964384137473,2.2033228415712878,1.2156264031575406
27,3,"[0, 66]",1.183139443366913,50.62550453646815,49.44236509310124
14,5,"[1, 28]",1.2146185704668155,3.5751037787013953,2.3604852082345795
2,1,"[72, 12]",1.5893061673552171,3.2169088888023936,1.6276027214471764
13,3,"[47, 51]",1.6012381422006519,3.255282699720576,1.654044557519924
28,3,"[50, 76]",1.6012381422006519,6.052109628625215,4.450871486424563
25,2,"[18, 65]",1.623583044250122,2.777696223037472,1.1541131787873502
11,5,"[77, 33]",2.2033228415712878,3.6152330350231314,1.4119101934518437
17,4,"[55, 6]",2.2033228415712878,4.159721573539139,1.9563987319678513
9,2,"[18, 65]",2.777696223037472,4.098080026542567,1.3203838035050945
16,1,"[72, 12]",3.2169088888023936,4.509416918877203,1.292508030074809
23,5,"[1, 45]",3.5751037787013953,4.618974275109849,1.043870496408454
19,5,"[28, 77]",4.159721573539139,5.635003833756929,1.4752822602177895
21,4,"[55, 6]",4.159721573539139,6.552986090134932,2.393264516595793
7,1,"[72, 12]",4.509416918877203,5.801924948952012,1.292508030074809
3,1,"[72, 12]",5.801924948952012,8.578423722495144,2.776498773543132
22,5,"[1, 28]",6.552986090134932,7.274882066464706,0.7218959763297734
4,1,"[72, 12]",8.578423722495144,10.588991642464219,2.010567919969075
5,1,"[72, 12]",10.588991642464219,14.227162283880471,3.6381706414162522
31,0,[],50.62550453646815,50.62550453646815,0.0
91,5,[1],50.62550453646815,51.04577968194178,0.42027514547363154
92,5,[28],50.62550453646815,51.10129945392633,0.47579491745818103
95,5,[45],50.62550453646815,50.99095412880898,0.3654495923408305
96,5,[45],50.99095412880898,51.35640372114981,0.3654495923408305
100,5,[1],51.04577968194178,51.56856095524205,0.5227812733002679
98,5,[28],51.10129945392633,51.716351392560064,0.6150519386337336
46,5,[45],51.35640372114981,51.98034204435338,0.6239383232035678
34,5,"[56, 70, 25]",51.56856095524205,52.1735464628497,0.6049855076076511
99,5,"[1, 28]",51.716351392560064,53.183060656119295,1.4667092635592311
35,5,"[56, 70, 25]",52.1735464628497,52.77853197045735,0.6049855076076511
97,5,[45],52.1735464628497,53.225328178837636,1.0517817159879357
